"School District Tuition Rates",,,,
"Based on the 2007-2008 School Year Operations",,,,
"For Use During the 2008-2009 Fiscal Year",,,,
"Certified: April 2009",,,,
,,,,
"AUN","School District","County","Elementary","Secondary"
1-04-43-250-3,"FARRELL AREA SD","Mercer                                            ",9517,10926
1-04-43-280-3,"GREENVILLE AREA SD","Mercer                                            ",6433,7453
1-04-43-290-3,"GROVE CITY AREA SD","Mercer                                            ",6804,8182
1-04-43-330-3,"HERMITAGE SD","Mercer                                            ",7695,7432
1-04-43-360-4,"JAMESTOWN AREA SD","Mercer                                            ",7251,7699
1-04-43-390-3,"LAKEVIEW SD","Mercer                                            ",6169,7912
1-04-43-500-3,"MERCER AREA SD","Mercer                                            ",7930,7812
1-04-43-530-3,"REYNOLDS SD","Mercer                                            ",9112,7837
1-04-43-560-3,"SHARON CITY SD","Mercer                                            ",6879,7339
1-04-43-570-3,"SHARPSVILLE AREA SD","Mercer                                            ",7223,7698
1-04-43-750-3,"WEST MIDDLESEX AREA SD","Mercer                                            ",6930,7759
1-11-44-460-2,"MIFFLIN COUNTY SD","Mifflin                                           ",7029,7801
1-20-45-200-3,"EAST STROUDSBURG AREA SD","Monroe                                            ",9097,12495
1-20-45-520-3,"PLEASANT VALLEY SD","Monroe                                            ",8938,8005
1-20-45-540-3,"POCONO MOUNTAIN SD","Monroe                                            ",9929,10792
1-20-45-600-3,"STROUDSBURG AREA SD","Monroe                                            ",9895,9867
1-23-46-030-2,"ABINGTON  SD","Montgomery                                        ",11791,11444
1-23-46-050-4,"BRYN ATHYN SD","Montgomery                                        ",40642,40652
1-23-46-130-2,"CHELTENHAM TOWNSHIP SD","Montgomery                                        ",14427,13069
1-23-46-160-2,"COLONIAL SD","Montgomery                                        ",12284,12679
1-23-46-360-3,"HATBORO-HORSHAM SD","Montgomery                                        ",10692,11250
1-23-46-380-3,"JENKINTOWN SD","Montgomery                                        ",16478,17506
1-23-46-450-2,"LOWER MERION SD","Montgomery                                        ",16935,17325
1-23-46-460-3,"LOWER MORELAND TOWNSHIP SD","Montgomery                                        ",10110,11351
1-23-46-530-3,"METHACTON SD","Montgomery                                        ",11140,10706
1-23-46-560-2,"NORRISTOWN AREA SD","Montgomery                                        ",11253,10977
1-23-46-570-2,"NORTH PENN SD","Montgomery                                        ",10858,11091
1-23-46-610-3,"PERKIOMEN VALLEY SD","Montgomery                                        ",9524,9936
1-23-46-630-3,"POTTSGROVE SD","Montgomery                                        ",10233,11121
1-23-46-640-3,"POTTSTOWN SD","Montgomery                                        ",9724,10155
1-23-46-710-3,"SOUDERTON AREA SD","Montgomery                                        ",8843,9877
1-23-46-720-3,"SPRINGFIELD TOWNSHIP SD","Montgomery                                        ",14962,12085
1-23-46-730-3,"SPRING-FORD AREA SD","Montgomery                                        ",10240,9989
1-23-46-830-3,"UPPER DUBLIN SD","Montgomery                                        ",11281,10144
1-23-46-840-2,"UPPER MERION AREA SD","Montgomery                                        ",14054,13651
1-23-46-850-3,"UPPER MORELAND TOWNSHIP SD","Montgomery                                        ",10739,10480
1-23-46-860-3,"UPPER PERKIOMEN SD","Montgomery                                        ",9093,8918
1-23-46-930-3,"WISSAHICKON SD","Montgomery                                        ",12531,12685
1-16-47-180-3,"DANVILLE AREA SD","Montour                                           ",8767,8453
1-20-48-080-3,"BANGOR AREA SD","Northampton                                       ",7695,8612
1-20-48-100-2,"BETHLEHEM AREA SD","Northampton                                       ",8912,7988
1-20-48-330-2,"EASTON AREA SD","Northampton                                       ",8635,8855
1-20-48-480-3,"NAZARETH AREA SD","Northampton                                       ",8129,7451
1-20-48-490-3,"NORTHAMPTON AREA SD","Northampton                                       ",8284,8813
1-20-48-560-3,"PEN ARGYL AREA SD","Northampton                                       ",8610,8193
1-20-48-600-3,"SAUCON VALLEY SD","Northampton                                       ",10522,11368
1-20-48-860-3,"WILSON AREA SD","Northampton                                       ",8777,9337
1-16-49-350-3,"LINE MOUNTAIN SD","Northumberland                                    ",8532,9093
1-16-49-500-3,"MILTON AREA SD","Northumberland                                    ",7550,7956
1-16-49-510-3,"MOUNT CARMEL AREA SD","Northumberland                                    ",5598,6677
1-16-49-650-3,"SHAMOKIN AREA SD","Northumberland                                    ",6161,5825
1-16-49-660-3,"SHIKELLAMY SD","Northumberland                                    ",7821,8274
1-16-49-800-3,"WARRIOR RUN SD","Northumberland                                    ",7949,7710
1-15-50-300-4,"GREENWOOD SD","Perry                                             ",6949,7974
1-15-50-400-3,"NEWPORT SD","Perry                                             ",8632,8919
1-15-50-600-3,"SUSQUENITA SD","Perry                                             ",7614,7996
1-15-50-800-3,"WEST PERRY SD","Perry                                             ",7626,8184
1-26-51-500-1,"PHILADELPHIA CITY SD","Philadelphia                                      ",8065,8247
1-20-52-200-3,"DELAWARE VALLEY SD","Pike                                              ",7758,8190
1-09-53-030-4,"AUSTIN AREA SD","Potter                                            ",11995,10193
1-09-53-130-4,"COUDERSPORT AREA SD","Potter                                            ",8493,9176
1-09-53-280-4,"GALETON AREA SD","Potter                                            ",9972,11852
1-09-53-550-4,"NORTHERN POTTER SD","Potter                                            ",9699,9955
1-09-53-750-4,"OSWAYO VALLEY SD","Potter                                            ",8059,10079
1-29-54-080-3,"BLUE MOUNTAIN SD","Schuylkill                                        ",6601,8460
1-29-54-450-3,"MAHANOY AREA SD","Schuylkill                                        ",8729,9736
1-29-54-470-3,"MINERSVILLE AREA SD","Schuylkill                                        ",6620,7786
1-29-54-500-3,"NORTH SCHUYLKILL SD","Schuylkill                                        ",6456,7440
1-29-54-600-3,"PINE GROVE AREA SD","Schuylkill                                        ",7868,8391
1-29-54-610-3,"POTTSVILLE AREA SD","Schuylkill                                        ",6363,7436
1-29-54-680-3,"SAINT CLAIR AREA SD","Schuylkill                                        ",6957,9341
1-29-54-720-3,"SHENANDOAH VALLEY SD","Schuylkill                                        ",5518,7744
1-29-54-730-3,"SCHUYLKILL HAVEN AREA SD","Schuylkill                                        ",6849,8012
1-29-54-760-3,"TAMAQUA AREA SD","Schuylkill                                        ",7366,9133
1-29-54-780-3,"TRI-VALLEY SD","Schuylkill                                        ",9840,9560
1-29-54-880-3,"WILLIAMS VALLEY SD","Schuylkill                                        ",9211,9189
1-16-55-500-3,"MIDD-WEST SD","Snyder                                            ",7394,8410
1-16-55-710-3,"SELINSGROVE AREA SD","Snyder                                            ",7628,8194
1-08-56-100-3,"BERLIN BROTHERSVALLEY SD","Somerset                                          ",7029,7395
1-08-56-180-3,"CONEMAUGH TOWNSHIP AREA SD","Somerset                                          ",7925,8068
1-08-56-520-3,"MEYERSDALE AREA SD","Somerset                                          ",7432,8955
1-08-56-550-3,"NORTH STAR SD","Somerset                                          ",7998,7787
1-08-56-630-3,"ROCKWOOD AREA SD","Somerset                                          ",7168,8077
1-08-56-700-4,"SALISBURY-ELK LICK SD","Somerset                                          ",7171,7730
1-08-56-720-4,"SHADE-CENTRAL CITY SD","Somerset                                          ",7650,8338
1-08-56-740-4,"SHANKSVILLE-STONYCREEK SD","Somerset                                          ",8738,9500
1-08-56-770-3,"SOMERSET AREA SD","Somerset                                          ",7897,8456
1-08-56-840-4,"TURKEYFOOT VALLEY AREA SD","Somerset                                          ",8192,9769
1-08-56-910-3,"WINDBER AREA SD","Somerset                                          ",7703,7394
1-17-57-630-3,"SULLIVAN COUNTY SD","Sullivan                                          ",13136,12112
1-19-58-100-3,"BLUE RIDGE SD","Susquehanna                                       ",8979,9350
1-19-58-250-3,"ELK LAKE SD","Susquehanna                                       ",7764,8612
1-19-58-300-3,"FOREST CITY REGIONAL SD","Susquehanna                                       ",8790,9251
1-19-58-450-3,"MONTROSE AREA SD","Susquehanna                                       ",8701,8256
1-19-58-460-3,"MOUNTAIN VIEW SD","Susquehanna                                       ",8025,8607
1-19-58-650-3,"SUSQUEHANNA COMMUNITY SD","Susquehanna                                       ",8128,9897
1-17-59-600-3,"NORTHERN TIOGA SD","Tioga                                             ",7433,8063
1-17-59-700-3,"SOUTHERN TIOGA SD","Tioga                                             ",8365,8544
1-17-59-850-3,"WELLSBORO AREA SD","Tioga                                             ",8302,9140
1-16-60-400-3,"LEWISBURG AREA SD","Union                                             ",9839,9687
1-16-60-500-3,"MIFFLINBURG AREA SD","Union                                             ",7087,7740
1-06-61-130-3,"CRANBERRY AREA SD","Venango                                           ",8350,9424
1-06-61-220-3,"FRANKLIN AREA SD","Venango                                           ",8508,9597
1-06-61-620-3,"OIL CITY AREA SD","Venango                                           ",7834,7817
1-06-61-720-3,"TITUSVILLE AREA SD","Venango                                           ",7665,9212
1-06-61-860-3,"VALLEY GROVE SD","Venango                                           ",7848,8768
1-05-62-830-2,"WARREN COUNTY SD","Warren                                            ",7787,8927
1-01-63-050-4,"AVELLA AREA SD","Washington                                        ",8540,9897
1-01-63-090-3,"BENTWORTH SD","Washington                                        ",7980,8988
1-01-63-100-3,"BETHLEHEM-CENTER SD","Washington                                        ",7784,8627
1-01-63-120-3,"BURGETTSTOWN AREA SD","Washington                                        ",5881,7570
1-01-63-150-3,"CALIFORNIA AREA SD","Washington                                        ",7445,11313
1-01-63-170-3,"CANON-MCMILLAN SD","Washington                                        ",7996,7891
1-01-63-180-3,"CHARLEROI SD","Washington                                        ",7027,9102
1-01-63-190-3,"CHARTIERS-HOUSTON SD","Washington                                        ",7793,7947
1-01-63-240-3,"FORT CHERRY SD","Washington                                        ",8446,8959
1-01-63-390-3,"MCGUFFEY SD","Washington                                        ",7489,9721
1-01-63-650-3,"PETERS TOWNSHIP SD","Washington                                        ",6967,7601
1-01-63-700-2,"RINGGOLD SD","Washington                                        ",6730,8164
1-01-63-800-3,"TRINITY AREA SD","Washington                                        ",7332,8076
1-01-63-880-3,"WASHINGTON SD","Washington                                        ",7962,8348
1-19-64-830-3,"WALLENPAUPACK AREA SD","Wayne                                             ",9411,8687
1-19-64-870-3,"WAYNE HIGHLANDS SD","Wayne                                             ",8812,8605
1-19-64-890-3,"WESTERN WAYNE SD","Wayne                                             ",7746,9794
1-07-65-060-3,"BELLE VERNON AREA SD","Westmoreland                                      ",8528,7415
1-07-65-070-3,"BURRELL SD","Westmoreland                                      ",7248,8686
1-07-65-160-3,"DERRY AREA SD","Westmoreland                                      ",7236,7949
1-07-65-260-3,"FRANKLIN REGIONAL SD","Westmoreland                                      ",8024,7645
1-07-65-310-2,"GREATER LATROBE SD","Westmoreland                                      ",6832,7014
1-07-65-320-3,"GREENSBURG SALEM SD","Westmoreland                                      ",8786,7587
1-07-65-380-2,"HEMPFIELD AREA SD","Westmoreland                                      ",7400,9013
1-07-65-410-3,"JEANNETTE CITY SD","Westmoreland                                      ",8052,8458
1-07-65-440-3,"KISKI AREA SD","Westmoreland                                      ",7991,6672
1-07-65-490-3,"LIGONIER VALLEY SD","Westmoreland                                      ",7474,8311
1-07-65-580-3,"MONESSEN CITY SD","Westmoreland                                      ",7942,9106
1-07-65-590-3,"MOUNT PLEASANT AREA SD","Westmoreland                                      ",8484,8096
1-07-65-630-3,"NEW KENSINGTON-ARNOLD SD","Westmoreland                                      ",7300,9298
1-07-65-650-2,"NORWIN SD","Westmoreland                                      ",6812,7224
1-07-65-710-3,"PENN-TRAFFORD SD","Westmoreland                                      ",7466,7464
1-07-65-750-3,"SOUTHMORELAND SD","Westmoreland                                      ",7173,7660
1-07-65-890-3,"YOUGH SD","Westmoreland                                      ",6863,7473
1-18-66-750-3,"TUNKHANNOCK AREA SD","Wyoming                                           ",8997,8793
1-19-66-500-3,"LACKAWANNA TRAIL SD","Wyoming                                           ",9290,10211
1-12-67-130-3,"CENTRAL YORK SD","York                                              ",7434,8333
1-12-67-160-3,"DALLASTOWN AREA SD","York                                              ",9174,9438
1-12-67-180-3,"DOVER AREA SD","York                                              ",7853,8954
1-12-67-220-3,"EASTERN YORK SD","York                                              ",8101,8703
1-12-67-280-3,"HANOVER PUBLIC SD","York                                              ",10134,11160
1-12-67-440-3,"NORTHEASTERN YORK SD","York                                              ",8199,8269
1-12-67-550-3,"RED LION AREA SD","York                                              ",7958,8927
1-12-67-620-3,"SOUTH EASTERN SD","York                                              ",8874,8111
1-12-67-640-3,"SOUTH WESTERN SD","York                                              ",8023,8350
1-12-67-650-3,"SOUTHERN YORK COUNTY SD","York                                              ",8647,8915
1-12-67-670-3,"SPRING GROVE AREA SD","York                                              ",7780,7846
1-12-67-850-3,"WEST YORK AREA SD","York                                              ",7704,8156
1-12-67-900-2,"YORK CITY SD","York                                              ",7781,8580
1-12-67-940-3,"YORK SUBURBAN SD","York                                              ",10454,11471
1-15-21-900-2,"WEST SHORE SD","York                                              ",7662,8207
1-15-67-460-3,"NORTHERN YORK COUNTY SD","York                                              ",7824,7858
